2026-08-05 17:02:26 | INFO     | app.services.pipeline.orchestrator:47 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d transitioned to FAILED
2026-08-05 17:03:45 | INFO     | app.services.research_service:98 | Created ResearchRun 5fb92325-1cdd-4756-b3e2-4c3cd400899a for user 8984967d-9920-44c6-a919-11e35af09630
2026-08-05 17:03:45 | INFO     | app.services.pipeline.orchestrator:47 | Run 5fb92325-1cdd-4756-b3e2-4c3cd400899a transitioned to SEARCHING
2026-08-05 17:03:45 | INFO     | app.services.pipeline.search_service:39 | Generating search strategy for Low Acrylonitrile NBR...
2026-08-05 17:03:45 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:03:52 | INFO     | app.services.pipeline.search_service:64 | Executing Serper API search for 4 queries...
2026-08-05 17:03:54 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:56 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:57 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:58 | INFO     | httpx:1773 | HTTP Request: POST https://google.serper.dev/search "HTTP/1.1 200 OK"
2026-08-05 17:03:58 | INFO     | app.services.pipeline.orchestrator:47 | Run 5fb92325-1cdd-4756-b3e2-4c3cd400899a transitioned to FILTERING
2026-08-05 17:03:58 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103724731A/en...
2026-08-05 17:03:59 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103724731A/en "HTTP/1.1 200 OK"
2026-08-05 17:03:59 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:03:59 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:03:59 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:04:05 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103665265A/en...
2026-08-05 17:04:06 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103665265A/en "HTTP/1.1 200 OK"
2026-08-05 17:04:06 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:04:06 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:04:06 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:04:09 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US4182820A/en...
2026-08-05 17:04:10 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US4182820A/en "HTTP/1.1 200 OK"
2026-08-05 17:04:10 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:04:10 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:04:10 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
